section,metric,series,percent
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,None in the last 6 months,U.S.,8.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,None in the last 6 months,U.K.,11.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,None in the last 6 months,All markets¹,11.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,Less than once per month,U.S.,15.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,Less than once per month,U.K.,23.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,Less than once per month,All markets¹,18.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,Once per month,U.S.,11.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,Once per month,U.K.,17.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,Once per month,All markets¹,15.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,A few times a month,U.S.,19.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,A few times a month,U.K.,21.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,A few times a month,All markets¹,18.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,1-2 times per week,U.S.,19.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,1-2 times per week,U.K.,18.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,1-2 times per week,All markets¹,18.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,3-4 times per week,U.S.,13.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,3-4 times per week,U.K.,5.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,3-4 times per week,All markets¹,10.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,5-7 times per week,U.S.,8.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,5-7 times per week,U.K.,4.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,5-7 times per week,All markets¹,6.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,More than 7 times per week,U.S.,6.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,More than 7 times per week,U.K.,1.0
Frequency of Online Betting Results of a survey of worldwide residents (unknown number) regarding online bets made by individuals in 2023.,More than 7 times per week,All markets¹,4.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,,column_1,1.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,,column_2,101.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,,column_3,500.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Football,column_1,65.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Football,column_2,22.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Football,column_3,9.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Basketball,column_1,65.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Basketball,column_2,22.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Basketball,column_3,10.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Soccer,column_1,64.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Soccer,column_2,21.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Soccer,column_3,10.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Baseball,column_1,62.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Baseball,column_2,23.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Baseball,column_3,12.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Horse racing,column_1,63.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Horse racing,column_2,20.0
U.S. gamblers' monthly wagers Results (in percentage of respondents) of a survey¹ of amount spent on sports gambling (both on- and offline) per month by sport.,Horse racing,column_3,12.0
Online gambling type,Sports betting,column_1,10.0
Online gambling type,Casino games,column_1,7.0
Online gambling type,Slot machines,column_1,7.0
Education breakdown of respondents,No college degree,column_1,59.0
Education breakdown of respondents,B.A. or higher,column_1,41.0
